rank,variantIndex,recommendation,persona,context,metric
77,1,"Hide secondary controls behind progressive disclosure in complex screens. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
77,2,"Hide secondary controls behind progressive disclosure in complex screens. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
77,3,"Hide secondary controls behind progressive disclosure in complex screens. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
77,4,"Hide secondary controls behind progressive disclosure in complex screens. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
77,5,"Hide secondary controls behind progressive disclosure in complex screens. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
77,6,"Hide secondary controls behind progressive disclosure in complex screens. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
77,7,"Hide secondary controls behind progressive disclosure in complex screens. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
77,8,"Hide secondary controls behind progressive disclosure in complex screens. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
77,9,"Hide secondary controls behind progressive disclosure in complex screens. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
77,10,"Hide secondary controls behind progressive disclosure in complex screens. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
78,1,"Design role-specific empty states that teach the next operational action. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
78,2,"Design role-specific empty states that teach the next operational action. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
78,3,"Design role-specific empty states that teach the next operational action. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
78,4,"Design role-specific empty states that teach the next operational action. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
78,5,"Design role-specific empty states that teach the next operational action. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
78,6,"Design role-specific empty states that teach the next operational action. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
78,7,"Design role-specific empty states that teach the next operational action. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
78,8,"Design role-specific empty states that teach the next operational action. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
78,9,"Design role-specific empty states that teach the next operational action. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
78,10,"Design role-specific empty states that teach the next operational action. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
79,1,"Create a unified notification center with triage, snooze, and assignment features. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
79,2,"Create a unified notification center with triage, snooze, and assignment features. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
79,3,"Create a unified notification center with triage, snooze, and assignment features. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
79,4,"Create a unified notification center with triage, snooze, and assignment features. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
79,5,"Create a unified notification center with triage, snooze, and assignment features. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
79,6,"Create a unified notification center with triage, snooze, and assignment features. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
79,7,"Create a unified notification center with triage, snooze, and assignment features. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
79,8,"Create a unified notification center with triage, snooze, and assignment features. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
79,9,"Create a unified notification center with triage, snooze, and assignment features. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
79,10,"Create a unified notification center with triage, snooze, and assignment features. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
80,1,"Standardize validation patterns, helper text, and save behavior across forms. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
80,2,"Standardize validation patterns, helper text, and save behavior across forms. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
80,3,"Standardize validation patterns, helper text, and save behavior across forms. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
80,4,"Standardize validation patterns, helper text, and save behavior across forms. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
80,5,"Standardize validation patterns, helper text, and save behavior across forms. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
80,6,"Standardize validation patterns, helper text, and save behavior across forms. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
80,7,"Standardize validation patterns, helper text, and save behavior across forms. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
80,8,"Standardize validation patterns, helper text, and save behavior across forms. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
80,9,"Standardize validation patterns, helper text, and save behavior across forms. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
80,10,"Standardize validation patterns, helper text, and save behavior across forms. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
81,1,"Use side panels for quick record inspection and edits from list views. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
81,2,"Use side panels for quick record inspection and edits from list views. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
81,3,"Use side panels for quick record inspection and edits from list views. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
81,4,"Use side panels for quick record inspection and edits from list views. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
81,5,"Use side panels for quick record inspection and edits from list views. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
81,6,"Use side panels for quick record inspection and edits from list views. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
81,7,"Use side panels for quick record inspection and edits from list views. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
81,8,"Use side panels for quick record inspection and edits from list views. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
81,9,"Use side panels for quick record inspection and edits from list views. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
81,10,"Use side panels for quick record inspection and edits from list views. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
82,1,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
82,2,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
82,3,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
82,4,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
82,5,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
82,6,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
82,7,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
82,8,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
82,9,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
82,10,"Tailor workflows for reefer, flatbed, drayage, and final-mile constraints. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
83,1,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
83,2,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
83,3,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
83,4,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
83,5,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
83,6,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
83,7,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
83,8,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
83,9,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
83,10,"Add route quality scoring based on historical dwell, tolls, and service outcomes. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
84,1,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
84,2,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
84,3,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
84,4,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
84,5,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
84,6,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
84,7,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
84,8,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
84,9,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
84,10,"Support stop-level sequencing, timing, and service notes for multi-stop loads. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
85,1,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
85,2,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
85,3,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
85,4,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
85,5,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
85,6,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
85,7,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
85,8,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
85,9,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
85,10,"Track lane-level carrier performance and spot-buy outcomes to improve procurement decisions. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
86,1,"Score loads for delay, claim, and margin risk before tender acceptance. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
86,2,"Score loads for delay, claim, and margin risk before tender acceptance. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
86,3,"Score loads for delay, claim, and margin risk before tender acceptance. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
86,4,"Score loads for delay, claim, and margin risk before tender acceptance. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
86,5,"Score loads for delay, claim, and margin risk before tender acceptance. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
86,6,"Score loads for delay, claim, and margin risk before tender acceptance. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
86,7,"Score loads for delay, claim, and margin risk before tender acceptance. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
86,8,"Score loads for delay, claim, and margin risk before tender acceptance. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
86,9,"Score loads for delay, claim, and margin risk before tender acceptance. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
86,10,"Score loads for delay, claim, and margin risk before tender acceptance. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
87,1,"Document ownership and review paths for each app, package, and critical flow. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
87,2,"Document ownership and review paths for each app, package, and critical flow. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
87,3,"Document ownership and review paths for each app, package, and critical flow. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
87,4,"Document ownership and review paths for each app, package, and critical flow. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
87,5,"Document ownership and review paths for each app, package, and critical flow. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
87,6,"Document ownership and review paths for each app, package, and critical flow. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
87,7,"Document ownership and review paths for each app, package, and critical flow. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
87,8,"Document ownership and review paths for each app, package, and critical flow. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
87,9,"Document ownership and review paths for each app, package, and critical flow. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
87,10,"Document ownership and review paths for each app, package, and critical flow. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
88,1,"Design retry and local cache strategies for mobile field workflows. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
88,2,"Design retry and local cache strategies for mobile field workflows. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
88,3,"Design retry and local cache strategies for mobile field workflows. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
88,4,"Design retry and local cache strategies for mobile field workflows. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
88,5,"Design retry and local cache strategies for mobile field workflows. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
88,6,"Design retry and local cache strategies for mobile field workflows. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
88,7,"Design retry and local cache strategies for mobile field workflows. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
88,8,"Design retry and local cache strategies for mobile field workflows. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
88,9,"Design retry and local cache strategies for mobile field workflows. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
88,10,"Design retry and local cache strategies for mobile field workflows. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
89,1,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Small (5-20) Intermodal operations",Dispatcher,"Carrier Shortage in North America",On-time Delivery Rate
89,2,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Medium (20-100) Air Freight operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",Empty Miles
89,3,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Enterprise (> 100) Ocean operations",Broker Agent,"Holiday Peak Season in APAC",Carbon Footprint
89,4,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Micro (< 5) FTL operations",Compliance Officer,"Last-mile Delivery Surge in LATAM",On-time Delivery Rate
89,5,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Small (5-20) LTL operations",Warehouse Supervisor,"Extreme Weather Event in North America",Empty Miles
89,6,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Medium (20-100) Intermodal operations",Carrier Owner,"Port Congestion in EMEA",Carbon Footprint
89,7,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Enterprise (> 100) Air Freight operations",Driver,"Carrier Shortage in APAC",On-time Delivery Rate
89,8,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Micro (< 5) Ocean operations",Audit Specialist,"Global Supply Chain Crisis in LATAM",Empty Miles
89,9,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Small (5-20) FTL operations",Dispatcher,"Holiday Peak Season in North America",Carbon Footprint
89,10,"Run repeatable load tests for high-volume dispatch and tracking workloads. for Medium (20-100) LTL operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",On-time Delivery Rate
90,1,"Add scenario planning for capacity constraints, delays, and route disruptions. for Small (5-20) Intermodal operations",Dispatcher,"Global Supply Chain Crisis in North America",On-time Delivery Rate
90,2,"Add scenario planning for capacity constraints, delays, and route disruptions. for Medium (20-100) Air Freight operations",Fleet Manager,"Holiday Peak Season in EMEA",Empty Miles
90,3,"Add scenario planning for capacity constraints, delays, and route disruptions. for Enterprise (> 100) Ocean operations",Broker Agent,"Last-mile Delivery Surge in APAC",Carbon Footprint
90,4,"Add scenario planning for capacity constraints, delays, and route disruptions. for Micro (< 5) FTL operations",Compliance Officer,"Extreme Weather Event in LATAM",On-time Delivery Rate
90,5,"Add scenario planning for capacity constraints, delays, and route disruptions. for Small (5-20) LTL operations",Warehouse Supervisor,"Port Congestion in North America",Empty Miles
90,6,"Add scenario planning for capacity constraints, delays, and route disruptions. for Medium (20-100) Intermodal operations",Carrier Owner,"Carrier Shortage in EMEA",Carbon Footprint
90,7,"Add scenario planning for capacity constraints, delays, and route disruptions. for Enterprise (> 100) Air Freight operations",Driver,"Global Supply Chain Crisis in APAC",On-time Delivery Rate
90,8,"Add scenario planning for capacity constraints, delays, and route disruptions. for Micro (< 5) Ocean operations",Audit Specialist,"Holiday Peak Season in LATAM",Empty Miles
90,9,"Add scenario planning for capacity constraints, delays, and route disruptions. for Small (5-20) FTL operations",Dispatcher,"Last-mile Delivery Surge in North America",Carbon Footprint
90,10,"Add scenario planning for capacity constraints, delays, and route disruptions. for Medium (20-100) LTL operations",Fleet Manager,"Extreme Weather Event in EMEA",On-time Delivery Rate
91,1,"Embed workflow coaching and contextual checklists inside complex screens. for Small (5-20) Intermodal operations",Dispatcher,"Holiday Peak Season in North America",On-time Delivery Rate
91,2,"Embed workflow coaching and contextual checklists inside complex screens. for Medium (20-100) Air Freight operations",Fleet Manager,"Last-mile Delivery Surge in EMEA",Empty Miles
91,3,"Embed workflow coaching and contextual checklists inside complex screens. for Enterprise (> 100) Ocean operations",Broker Agent,"Extreme Weather Event in APAC",Carbon Footprint
91,4,"Embed workflow coaching and contextual checklists inside complex screens. for Micro (< 5) FTL operations",Compliance Officer,"Port Congestion in LATAM",On-time Delivery Rate
91,5,"Embed workflow coaching and contextual checklists inside complex screens. for Small (5-20) LTL operations",Warehouse Supervisor,"Carrier Shortage in North America",Empty Miles
91,6,"Embed workflow coaching and contextual checklists inside complex screens. for Medium (20-100) Intermodal operations",Carrier Owner,"Global Supply Chain Crisis in EMEA",Carbon Footprint
91,7,"Embed workflow coaching and contextual checklists inside complex screens. for Enterprise (> 100) Air Freight operations",Driver,"Holiday Peak Season in APAC",On-time Delivery Rate
91,8,"Embed workflow coaching and contextual checklists inside complex screens. for Micro (< 5) Ocean operations",Audit Specialist,"Last-mile Delivery Surge in LATAM",Empty Miles
91,9,"Embed workflow coaching and contextual checklists inside complex screens. for Small (5-20) FTL operations",Dispatcher,"Extreme Weather Event in North America",Carbon Footprint
91,10,"Embed workflow coaching and contextual checklists inside complex screens. for Medium (20-100) LTL operations",Fleet Manager,"Port Congestion in EMEA",On-time Delivery Rate
92,1,"Create shared operational workspaces for strategic shipper and carrier partners. for Small (5-20) Intermodal operations",Dispatcher,"Last-mile Delivery Surge in North America",On-time Delivery Rate
92,2,"Create shared operational workspaces for strategic shipper and carrier partners. for Medium (20-100) Air Freight operations",Fleet Manager,"Extreme Weather Event in EMEA",Empty Miles
92,3,"Create shared operational workspaces for strategic shipper and carrier partners. for Enterprise (> 100) Ocean operations",Broker Agent,"Port Congestion in APAC",Carbon Footprint
92,4,"Create shared operational workspaces for strategic shipper and carrier partners. for Micro (< 5) FTL operations",Compliance Officer,"Carrier Shortage in LATAM",On-time Delivery Rate
92,5,"Create shared operational workspaces for strategic shipper and carrier partners. for Small (5-20) LTL operations",Warehouse Supervisor,"Global Supply Chain Crisis in North America",Empty Miles
92,6,"Create shared operational workspaces for strategic shipper and carrier partners. for Medium (20-100) Intermodal operations",Carrier Owner,"Holiday Peak Season in EMEA",Carbon Footprint
92,7,"Create shared operational workspaces for strategic shipper and carrier partners. for Enterprise (> 100) Air Freight operations",Driver,"Last-mile Delivery Surge in APAC",On-time Delivery Rate
92,8,"Create shared operational workspaces for strategic shipper and carrier partners. for Micro (< 5) Ocean operations",Audit Specialist,"Extreme Weather Event in LATAM",Empty Miles
92,9,"Create shared operational workspaces for strategic shipper and carrier partners. for Small (5-20) FTL operations",Dispatcher,"Port Congestion in North America",Carbon Footprint
92,10,"Create shared operational workspaces for strategic shipper and carrier partners. for Medium (20-100) LTL operations",Fleet Manager,"Carrier Shortage in EMEA",On-time Delivery Rate
93,1,"Develop reseller and implementation partner programs for freight consultants and agencies. for Small (5-20) Intermodal operations",Dispatcher,"Extreme Weather Event in North America",On-time Delivery Rate
93,2,"Develop reseller and implementation partner programs for freight consultants and agencies. for Medium (20-100) Air Freight operations",Fleet Manager,"Port Congestion in EMEA",Empty Miles
93,3,"Develop reseller and implementation partner programs for freight consultants and agencies. for Enterprise (> 100) Ocean operations",Broker Agent,"Carrier Shortage in APAC",Carbon Footprint
93,4,"Develop reseller and implementation partner programs for freight consultants and agencies. for Micro (< 5) FTL operations",Compliance Officer,"Global Supply Chain Crisis in LATAM",On-time Delivery Rate
93,5,"Develop reseller and implementation partner programs for freight consultants and agencies. for Small (5-20) LTL operations",Warehouse Supervisor,"Holiday Peak Season in North America",Empty Miles
93,6,"Develop reseller and implementation partner programs for freight consultants and agencies. for Medium (20-100) Intermodal operations",Carrier Owner,"Last-mile Delivery Surge in EMEA",Carbon Footprint
93,7,"Develop reseller and implementation partner programs for freight consultants and agencies. for Enterprise (> 100) Air Freight operations",Driver,"Extreme Weather Event in APAC",On-time Delivery Rate
93,8,"Develop reseller and implementation partner programs for freight consultants and agencies. for Micro (< 5) Ocean operations",Audit Specialist,"Port Congestion in LATAM",Empty Miles
93,9,"Develop reseller and implementation partner programs for freight consultants and agencies. for Small (5-20) FTL operations",Dispatcher,"Carrier Shortage in North America",Carbon Footprint
93,10,"Develop reseller and implementation partner programs for freight consultants and agencies. for Medium (20-100) LTL operations",Fleet Manager,"Global Supply Chain Crisis in EMEA",On-time Delivery Rate
94,1,"Build a dispatch and operations community with templates, playbooks, and office hours. for Small (5-20) Intermodal operations",Dispatcher,"Port Congestion in North America",On-time Delivery Rate
94,2,"Build a dispatch and operations community with templates, playbooks, and office hours. for Medium (20-100) Air Freight operations",Fleet Manager,"Carrier Shortage in EMEA",Empty Miles
94,3,"Build a dispatch and operations community with templates, playbooks, and office hours. for Enterprise (> 100) Ocean operations",Broker Agent,"Global Supply Chain Crisis in APAC",Carbon Footprint
94,4,"Build a dispatch and operations community with templates, playbooks, and office hours. for Micro (< 5) FTL operations",Compliance Officer,"Holiday Peak Season in LATAM",On-time Delivery Rate
94,5,"Build a dispatch and operations community with templates, playbooks, and office hours. for Small (5-20) LTL operations",Warehouse Supervisor,"Last-mile Delivery Surge in North America",Empty Miles
94,6,"Build a dispatch and operations community with templates, playbooks, and office hours. for Medium (20-100) Intermodal operations",Carrier Owner,"Extreme Weather Event in EMEA",Carbon Footprint
94,7,"Build a dispatch and operations community with templates, playbooks, and office hours. for Enterprise (> 100) Air Freight operations",Driver,"Port Congestion in APAC",On-time Delivery Rate
94,8,"Build a dispatch and operations community with templates, playbooks, and office hours. for Micro (< 5) Ocean operations",Audit Specialist,"Carrier Shortage in LATAM",Empty Miles
94,9,"Build a dispatch and operations community with templates, playbooks, and office hours. for Small (5-20) FTL operations",Dispatcher,"Global Supply Chain Crisis in North America",Carbon Footprint
94,10,"Build a dispatch and operations community with templates, playbooks, and office hours. for Medium (20-100) LTL operations",Fleet Manager,"Holiday Peak Season in EMEA",On-time Delivery Rate
